epoch,train_loss,val_loss,train_mae,val_mae,lr
1,164.869524,151.5314,83.4348,76.7657,0.0005
2,164.210713,150.75125,83.1054,76.3756,0.0005
3,161.755579,147.558123,81.8778,74.7791,0.0005
4,156.428485,140.999872,79.2142,71.4999,0.0005
5,148.502206,132.698077,75.2511,67.349,0.0005
6,136.981665,120.040001,69.4908,61.02,0.0005
7,123.363463,104.687534,62.6817,53.3438,0.0005
8,109.57326,90.460841,55.7866,46.2304,0.0005
9,95.996234,76.566325,48.9981,39.2832,0.0005
10,82.254042,62.401722,42.127,32.2009,0.0005
11,68.287318,47.640891,35.1437,24.8204,0.0005
12,52.845014,32.195122,27.4225,17.0976,0.0005
13,36.688987,16.007326,19.3429,9.0037,0.0005
14,21.556501,7.808748,11.7503,4.8908,0.0005
15,10.485511,12.590207,6.18,7.2575,0.0005
16,8.067238,15.876932,4.9599,8.8565,0.0005
17,6.770161,9.846519,4.2934,5.7954,0.0005
18,5.959238,9.505892,3.8655,5.6513,0.0005
19,5.119509,2.916413,3.4277,2.3216,0.0005
20,5.033752,4.058933,3.3744,2.9047,0.0005
21,5.325113,2.065988,3.5429,1.7911,0.0005
22,4.868246,4.621314,3.3038,3.1846,0.0005
23,4.94138,1.949523,3.3337,1.7533,0.0005
24,4.493875,1.282352,3.1187,1.3016,0.0005
25,4.81011,1.701095,3.2685,1.5699,0.0005
26,4.668355,1.211891,3.2056,1.1907,0.0005
27,4.764431,1.591322,3.255,1.5073,0.0005
28,4.816974,2.07824,3.2632,1.7869,0.0005
29,4.423632,1.428316,3.0732,1.4136,0.0005
30,4.586839,1.272414,3.166,1.3176,0.0005
31,4.701164,2.40613,3.2171,2.0809,0.0005
32,4.692472,1.21574,3.228,1.2393,0.0005
33,4.696256,2.003956,3.208,1.7619,0.0005
34,4.927864,2.021588,3.3315,1.6517,0.0005
35,4.617878,1.281303,3.1772,1.225,0.0005
36,4.882544,1.352712,3.3189,1.2964,0.0005
37,4.582601,1.296603,3.1555,1.3083,0.0005
38,4.829108,1.248997,3.2855,1.2243,0.00025
39,4.704478,1.370018,3.2163,1.3027,0.00025
40,4.288061,1.040433,2.9934,1.088,0.00025
41,4.521375,0.962474,3.1208,1.0171,0.00025
42,4.385757,1.174033,3.0592,1.1775,0.00025
43,4.390981,1.138888,3.0546,1.1088,0.00025
44,4.560701,1.130876,3.1465,1.1777,0.00025
45,4.281993,1.916401,3.0133,1.6838,0.00025
46,4.567194,1.268337,3.151,1.1969,0.00025
47,4.687017,2.097476,3.2253,1.8405,0.00025
48,4.597123,1.115402,3.158,1.1232,0.00025
49,4.776804,1.587902,3.2598,1.4381,0.00025
50,4.475918,1.043355,3.1042,1.0769,0.00025
51,4.569874,1.030209,3.1597,1.1102,0.00025
52,4.739752,1.788775,3.2341,1.6283,0.00025
53,4.458562,1.075019,3.0957,1.1039,0.000125
54,4.561916,1.044664,3.1379,1.0494,0.000125
55,4.367677,1.036713,3.0287,1.0434,0.000125
56,4.445025,1.041824,3.0764,1.1419,0.000125
57,4.548737,0.926876,3.1453,0.9705,0.000125
58,4.484716,1.041736,3.1053,1.0499,0.000125
59,4.555096,1.041251,3.1276,1.1086,0.000125
60,4.68087,1.317454,3.2221,1.2938,0.000125
61,4.552899,1.129809,3.1454,1.1535,0.000125
62,4.590273,1.136163,3.1725,1.1065,0.000125
63,4.397759,0.93206,3.0626,0.9693,0.000125
64,4.804482,1.043016,3.2814,1.0673,0.000125
65,4.559166,1.0157,3.147,1.0229,0.000125
66,4.43713,0.940437,3.0916,0.997,0.000125
67,4.68984,1.079811,3.2059,1.0969,0.000125
68,4.562202,0.951503,3.1404,1.058,0.000125
69,4.713725,0.970818,3.2219,1.0052,6.25e-05
70,4.489711,0.968052,3.1076,1.0115,6.25e-05
71,4.475504,1.088316,3.1095,1.0935,6.25e-05
72,4.22291,0.982732,2.973,1.0064,6.25e-05
73,4.573336,0.97721,3.1549,1.0117,6.25e-05
74,4.703027,1.063573,3.2313,1.0674,6.25e-05
75,4.226454,1.129175,2.9731,1.1016,6.25e-05
76,4.453249,1.039022,3.0977,1.0442,6.25e-05
77,4.504044,0.994573,3.1239,1.0194,6.25e-05
78,4.5632,1.027455,3.1557,1.0297,6.25e-05
79,4.472983,0.965473,3.1018,1.0184,6.25e-05
80,4.491739,1.006936,3.1186,1.0211,3.125e-05
81,4.576734,1.017256,3.1509,1.0347,3.125e-05
82,4.457039,1.096515,3.0955,1.0894,3.125e-05
83,4.479015,1.046435,3.097,1.0526,3.125e-05
84,4.591027,1.010312,3.1596,1.0293,3.125e-05
85,4.518499,0.983903,3.1326,1.0126,3.125e-05
86,4.716462,0.969097,3.2273,1.0217,3.125e-05
87,4.741386,0.989031,3.2438,1.0198,3.125e-05
